"","AQIM_CARGO_ID","CARGO_FORM","CALENDAR_YR","CARGO_CATG","ORIGIN","CITY","STATE","QUANTITY","UNIT","INSP_QUANTITY","INSP_UNIT","INSP_METHOD","AG_RISK_FL","INTENDED_USE","COMMODITY_LIST","LOCATION","PORT_CD","ENTRY_NUM","CARGO_COMMODITY_ID","AQIM_COMMODITY","QUANTITY.y","UNIT.y","FND_IN_CARGO","PROHIBITED_FL","TREATMENT_FL","SMUGGLED_FL","PEST_FL","PEST_DATA","CONTAMNT_FL","CONTAMINENT","CREATE_DT","kstar","QUANTITY_INSP_UNITS","HYPER_SAMP_SIZE"
"838","15452AC","Air Cargo",2013,"Perishable","THA","HONOLULU","HI",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"839","15455AC","Air Cargo",2013,"Perishable","NLD","IRVING","TX",8,"Box/Carton",8,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF, Freesia sp., CF, Iris sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8
"840","15466AC","Air Cargo",2013,"Perishable","NLD","ARLINGTON","TX",224,"Box/Carton",27,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,224,27
"841","15483AC","Air Cargo",2013,"Perishable","THA","FLUSHING","NY",22,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,16
"842","15485AC","Air Cargo",2013,"Perishable","THA","COLLEGE POINT","NY",31,"Box/Carton",19,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,19
"843","15491AC","Air Cargo",2013,"Perishable","FRA","MANHATTAN","NY",11,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Ranunculus sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,11
"844","15499AC","Air Cargo",2013,"Perishable","NLD","ARLINGTON","TX",18,"Box/Carton",15,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,15
"845","15506AC","Air Cargo",2013,"Perishable","THA","SAN BRUNO","CA",50,"Box/Carton",22,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,22
"846","15509AC","Air Cargo",2013,"Perishable","NLD","LOMBARD","IL",900,"Box/Carton",29,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,900,29
"847","15518AC","Air Cargo",2013,"Perishable","ECU","SAN JUAN","PR",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Gypsophila sp., CF","PR San Juan Air CBP",4913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"848","15532AC","Air Cargo",2013,"Perishable","THA","FREMONT","CA",63,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,63,23
"849","15540AC","Air Cargo",2013,"Perishable","COL","SAN JUAN","PR",187,"Box/Carton",27,"Box/Carton","Hypergeometric Sample","N","","Bouquets rose, CF","PR San Juan Air CBP",4913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,187,27
"850","15550AC","Air Cargo",2013,"Perishable","THA","SAN LEANDRO","CA",60,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,23
"851","15553AC","Air Cargo",2013,"Perishable","NLD","CHICAGO","IL",21,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,16
"852","15560AC","Air Cargo",2013,"Perishable","NLD","WILMINGTON","MA",8,"Box/Carton",8,"Box/Carton","Hypergeometric Sample","N","","Hyacinthus sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8
"853","15573AC","Air Cargo",2013,"Perishable","NZL","INGLEWOOD","CA",23,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Cymbidium sp., CF","CA Los Angeles CBP",2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,17
"854","15576AC","Air Cargo",2013,"Perishable","ECU","ANCHORAGE","AK",100,"Stems",1,"Box/Carton","Hypergeometric Sample","N","","Bupleurum sp., CF","GA Atlanta CBP",1704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"855","15578AC","Air Cargo",2013,"Perishable","THA","SAN BRUNO","CA",80,"Box/Carton",24,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,80,24
