LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Guatemala,2023,27135,Items,905,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,27293,Items,1300,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,27600,Items,952,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,27600,Items,952,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,28000,Items,966,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,28200,Items,1085,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,28400,Items,980,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,28464,Items,1356,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,28600,Items,1362,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,28800,Items,994,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,29000,Items,1000,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,30065,Items,1432,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,30500,Items,1052,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,30800,Items,1063,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,30950,Items,1474,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Indonesia,2023,31215,Items,1487,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,31600,Items,1090,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,31800,Items,1097,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,31850,Items,1517,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Indonesia,2023,32220,Items,1535,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,32400,Items,1118,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,33102,Items,1577,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,33154,Items,1579,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,United Kingdom of Great Britain and N. Ireland,2023,34640,Items,1333,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,34800,Items,1160,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,35200,Items,1174,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,36388,Items,1654,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Brazil,2023,36500,Items,1178,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Brazil,2023,36500,Items,1178,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,36800,Items,1673,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,37255,Items,1694,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,37400,Items,1207,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,37846,Items,1577,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,38250,Items,1234,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,38300,Items,1236,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,38500,Items,1204,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,39000,Items,1219,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,39400,Items,1159,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,40008,Items,1177,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,40550,Items,1764,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,41400,Items,1255,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Turkey,2023,42000,Items,1273,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,42500,Items,1417,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,42800,Items,1297,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,42900,Items,1430,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,43463,Items,1811,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,43500,Items,1280,none
